EmployeeID,ResignationDate,Reason,ExitInterviewCompleted
1004,2021-05-25,Management,No
1008,2024-07-04,Career Change,Yes
1018,2023-01-20,Career Change,Yes
1027,2023-05-08,Career Change,Yes
1030,2019-09-02,Career Change,No
1044,2025-03-05,Career Change,No
1054,2024-04-25,Compensation,Yes
1056,2024-03-05,Career Change,Yes
1058,2024-06-14,Career Change,Yes
1072,2025-06-12,Compensation,Yes
1076,2023-06-30,Compensation,No
1084,2023-01-09,Career Change,Yes
1085,2024-12-03,Relocation,No
1091,2022-10-19,Relocation,Yes
1097,2023-12-29,Management,Yes
1098,2023-01-05,Compensation,Yes
1111,2024-03-08,Career Change,Yes
1115,2025-04-03,Compensation,Yes
1123,2023-10-22,Management,Yes
1125,2020-10-31,Relocation,Yes
1126,2021-01-06,Management,No
1127,2020-07-20,Career Change,Yes
1131,2023-12-25,Relocation,Yes
1133,2025-05-29,Management,Yes
1135,2025-03-15,Compensation,No
1136,2025-03-25,Management,No
1148,2024-09-25,Management,No
1153,2024-09-16,Career Change,No
1165,2025-02-24,Management,Yes
1168,2023-12-29,Relocation,No
1172,2023-10-20,Management,No
1179,2024-02-02,Career Change,No
1188,2022-08-02,Relocation,Yes
1191,2020-09-07,Career Change,No
1195,2022-01-20,Relocation,No
1204,2021-08-27,Career Change,No
1219,2021-08-19,Management,Yes
1221,2021-03-24,Relocation,No
1232,2024-03-16,Compensation,No
1237,2022-01-25,Career Change,Yes
1248,2022-06-19,Management,Yes
1252,2022-05-03,Relocation,No
1253,2024-07-27,Management,Yes
1256,2025-01-29,Relocation,Yes
1262,2025-07-01,Compensation,Yes
1267,2024-02-05,Career Change,No
1274,2024-04-12,Management,Yes
1280,2023-01-04,Compensation,Yes
1289,2024-09-27,Management,No
1293,2024-02-03,Relocation,No
1295,2021-11-26,Relocation,No
1297,2023-10-18,Relocation,No
1298,2023-11-08,Management,Yes
1305,2020-06-08,Relocation,No
1308,2022-06-04,Relocation,No
1315,2023-01-13,Compensation,Yes
1322,2021-12-25,Compensation,No
1329,2021-10-21,Career Change,No
1336,2021-06-28,Management,No
1337,2022-01-05,Career Change,Yes
1344,2022-10-18,Career Change,Yes
1349,2025-02-09,Career Change,Yes
1351,2024-06-19,Compensation,Yes
1355,2020-07-20,Relocation,Yes
1360,2024-03-09,Career Change,No
1366,2023-09-07,Compensation,Yes
1380,2021-09-21,Career Change,No
1381,2024-03-20,Career Change,No
1390,2019-05-09,Management,Yes
1395,2021-08-26,Career Change,No
1398,2019-04-23,Relocation,No
1401,2023-09-01,Compensation,No
1418,2024-12-02,Compensation,Yes
1420,2023-02-02,Relocation,Yes
1435,2022-11-14,Relocation,No
1437,2022-04-27,Compensation,No
1447,2022-07-14,Management,Yes
1453,2023-05-08,Management,No
1455,2022-05-04,Career Change,Yes
1463,2021-10-14,Management,No
1467,2022-02-21,Compensation,No
1470,2024-05-17,Compensation,No
1474,2022-04-18,Relocation,No
1477,2021-09-26,Compensation,No
1480,2024-11-30,Relocation,No
1482,2024-06-25,Management,No
1487,2024-11-10,Career Change,Yes
1490,2025-01-02,Relocation,No
1496,2018-12-23,Relocation,Yes
1498,2022-05-21,Career Change,Yes
1506,2023-05-18,Relocation,Yes
1515,2024-07-22,Relocation,Yes
1518,2020-02-17,Relocation,Yes
1519,2024-08-21,Relocation,No
1523,2023-05-23,Compensation,Yes
1527,2022-08-22,Career Change,Yes
1533,2025-06-29,Relocation,No
1535,2022-01-27,Compensation,Yes
1545,2023-02-22,Management,Yes
1553,2019-09-09,Management,No
1560,2023-12-09,Relocation,Yes
1561,2023-10-15,Relocation,No
1572,2020-09-16,Management,No
1586,2025-02-09,Management,No
1600,2024-08-20,Relocation,Yes
1606,2024-11-12,Compensation,Yes
1615,2020-12-22,Relocation,No
1620,2024-05-24,Relocation,No
1624,2024-07-27,Management,No
1635,2020-12-16,Career Change,No
1640,2024-07-06,Compensation,No
1641,2025-06-15,Career Change,No
1649,2025-06-21,Relocation,No
1651,2022-09-01,Management,No
1654,2023-08-11,Career Change,No
1658,2021-06-06,Relocation,No
1661,2024-04-06,Relocation,Yes
1663,2021-02-05,Relocation,Yes
1675,2025-01-29,Relocation,Yes
1680,2024-11-24,Relocation,No
1682,2025-02-28,Career Change,Yes
1684,2021-10-11,Compensation,Yes
1690,2023-10-15,Career Change,No
1697,2024-10-27,Management,Yes
1702,2024-04-08,Relocation,No
1707,2020-03-29,Relocation,Yes
1723,2024-09-02,Compensation,No
1740,2023-11-07,Relocation,Yes
1757,2022-11-03,Career Change,Yes
1770,2022-09-08,Relocation,Yes
1782,2024-03-25,Management,Yes
1790,2024-07-18,Compensation,Yes
1791,2025-04-18,Relocation,Yes
1792,2023-07-26,Career Change,Yes
1799,2024-11-04,Relocation,No
1803,2024-08-22,Relocation,No
1805,2024-07-31,Management,No
1810,2022-07-16,Management,Yes
1815,2019-10-21,Compensation,Yes
1821,2023-04-23,Relocation,Yes
1826,2024-09-27,Compensation,No
1835,2023-02-19,Relocation,No
1843,2021-12-17,Relocation,No
1852,2024-07-17,Management,Yes
1865,2020-09-08,Management,Yes
1881,2024-06-01,Career Change,No
1889,2023-08-16,Compensation,Yes
1900,2021-09-16,Career Change,Yes
1902,2024-02-29,Management,Yes
1929,2025-03-06,Compensation,Yes
1935,2024-06-15,Management,Yes
1937,2022-02-07,Compensation,No
1938,2024-02-28,Management,No
1939,2023-01-24,Relocation,No
1942,2022-02-20,Career Change,Yes
1948,2023-10-31,Management,No
1950,2022-06-17,Management,No
1953,2022-12-18,Relocation,Yes
1960,2024-12-27,Career Change,No
1979,2022-01-15,Compensation,No
1984,2024-01-17,Career Change,No
1985,2024-10-07,Management,Yes
1989,2025-06-20,Management,Yes
1991,2024-09-13,Career Change,No
1996,2025-02-09,Relocation,Yes
